"Latest: Time (s)","Latest: Temperature (°C)"
0,56.3595870324
0.5,56.4117076559
1,56.4430077995
1.5,56.4910419165
2,56.545400648
2.5,56.5809770169
3,56.6438248726
3.5,56.7088565151
4,56.7529617078
4.5,56.8286677609
5,56.8813138723
5.5,56.9741159631
6,57.0417250151
6.5,57.1306117186
7,57.2366521957
7.5,57.3110255539
8,57.4110873332
8.5,57.5113670067
9,57.5797679148
9.5,57.6611266201
10,57.8328819675
10.5,58.1653422689
11,58.5133546286
11.5,58.8926901039
12,59.2419643634
12.5,59.5492847344
13,59.8340058523
13.5,60.093421179
14,60.3361758274
14.5,60.5276990416
15,60.6879476056
15.5,60.848789625
16,60.9663516401
16.5,61.1166504758
17,61.2395905779
17.5,61.3652124447
18,61.509899413
18.5,61.6245952296
19,61.7654591236
19.5,61.8666981477
20,61.9799938594
20.5,62.1054425835
21,62.2217539728
21.5,62.3550731206
22,62.4720728508
22.5,62.6301783001
23,62.7551651965
23.5,62.9385090169
24,63.0838220005
24.5,63.2905493083
25,63.446880892
25.5,63.6382066624
26,63.8328874661
26.5,63.9912767545
27,64.1552535937
27.5,64.307389563
28,64.4776489649
28.5,64.6284659527
29,64.8304222115
29.5,65.0384675752
30,65.3141081925
30.5,65.5143504946
31,65.7544008182
31.5,65.9646444433
32,66.1733739928
32.5,66.3779334879
33,66.5729714528
33.5,66.7795858663
34,66.9579196581
34.5,67.1772705722
35,67.3493159672
35.5,67.5194048113
36,68.0587816757
36.5,69.4718310779
37,71.1159427503
37.5,72.5370453386
38,73.8060227065
38.5,74.8793813977
39,75.6650539015
39.5,76.1473296283
40,76.4541353127
40.5,76.7290222513
41,77.0581536706
41.5,77.7786568131
42,78.3907693462
42.5,78.8192685254
43,79.1126903066
43.5,79.3417432704
44,79.5126306664
44.5,79.5722601968
45,79.6282526681
45.5,79.639461616
46,79.691816225
46.5,79.7517434437
47,79.8080159825
47.5,79.8530974674
48,79.9358938962
48.5,80.0491062782
49,80.1209923626
49.5,80.2385899276
50,80.4099845134
50.5,80.5438598956
51,80.7359820446
51.5,80.9020354247
52,81.041651913
52.5,81.1857169347
53,81.2677426501
